ID,Predict
546,1
547,2
548,1
549,1
550,2
551,1
552,1
553,1
554,1
555,1
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,1
565,2
566,2
567,2
568,1
569,2
570,2
571,1
572,1
573,1
574,2
575,2
576,1
577,2
578,1
579,1
580,2
581,1
582,2
583,0
584,1
585,1
586,2
587,2
588,1
589,1
590,0
591,1
592,2
593,2
594,2
595,2
596,1
597,1
598,1
599,2
600,1
601,1
602,2
603,1
604,2
605,1
606,1
607,2
608,2
609,2
610,1
611,2
612,2
613,2
614,1
615,2
616,2
617,1
618,2
619,1
620,2
621,2
622,0
623,2
624,2
625,2
626,1
627,2
628,1
629,2
630,2
631,1
632,1
633,1
634,2
635,2
636,2
637,1
638,2
639,2
640,1
641,1
642,1
643,2
644,1
645,1
646,2
647,2
648,1
649,2
650,1
651,0
652,2
653,1
654,0
655,1
656,2
657,2
658,2
659,2
660,2
661,1
662,2
663,0
664,2
665,1
666,2
667,1
668,2
669,1
670,2
671,2
672,1
673,2
674,1
675,2
676,2
677,2
678,1
679,1
680,1
681,2
682,2
683,1
684,2
685,0
686,2
687,2
688,1
689,2
690,1
691,2
692,1
693,1
694,2
695,2
696,0
697,2
698,2
699,1
700,1
701,1
702,0
703,2
704,2
705,1
706,2
707,1
708,1
709,2
710,2
711,1
712,2
713,2
714,2
715,2
716,0
717,2
718,1
719,1
720,2
721,2
722,2
723,1
724,2
725,2
726,1
727,1
728,2
729,2
730,1
731,1
732,1
733,2
734,1
735,2
736,2
737,0
738,2
739,2
740,1
741,0
742,2
743,2
744,2
745,1
746,2
747,1
748,2
749,1
750,2
751,2
752,1
753,1
754,2
755,2
756,2
757,2
758,1
759,2
760,2
761,1
762,2
763,1
764,1
765,1
766,1
767,2
768,1
769,2
770,2
771,2
772,2
773,2
774,1
775,2
776,1
777,1
778,1
779,2
780,2
781,1
782,1
783,2
784,1
785,1
786,2
787,2
788,1
789,2
790,2
791,2
792,0
793,0
794,1
795,1
796,2
797,1
798,0
799,2
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,2
808,2
809,2
810,1
811,2
812,2
813,2
814,2
815,1
816,2
817,0
818,1
819,2
820,1
821,2
822,1
823,2
824,2
825,1
826,2
827,0
828,2
829,1
830,1
831,2
832,2
833,2
834,0
835,2
836,2
837,1
838,2
839,2
840,0
841,2
842,2
843,2
844,1
845,2
846,0
847,2
848,2
849,0
850,2
851,2
852,1
853,2
854,2
855,2
856,1
857,2
858,1
859,2
860,1
861,1
862,2
863,2
864,2
865,1
866,1
867,2
868,0
869,1
870,1
871,1
872,1
873,2
874,2
875,2
876,2
877,2
878,1
879,1
880,0
881,2
882,2
883,2
884,2
885,2
886,1
887,1
888,1
889,2
890,1
891,0
892,1
893,2
894,2
895,1
896,2
897,2
898,2
899,1
900,1
901,1
902,1
903,2
904,2
905,0
906,2
907,1
908,2
909,2
910,2
911,1
912,2
913,1
914,1
915,2
916,2
917,2
918,1
919,1
920,2
921,2
922,2
923,0
924,1
925,2
926,1
927,1
928,0
929,1
930,1
931,1
932,2
933,2
934,1
935,1
936,1
937,2
938,2
939,1
940,1
941,2
942,2
943,1
944,1
945,0
946,1
947,1
948,2
949,2
950,2
951,2
952,1
953,1
954,1
955,1
956,1
957,2
958,2
959,2
960,2
961,1
962,1
963,1
964,2
965,2
966,1
967,1
968,2
969,2
970,2
971,1
972,2
973,2
974,1
975,1
976,2
977,2
978,1
979,2
980,2
981,2
982,0
983,2
984,2
985,1
986,1
987,2
988,2
989,1
990,1
991,1
992,2
993,1
994,1
995,2
996,2
997,1
998,1
999,2
1000,2
1001,2
1002,2
1003,1
1004,2
1005,2
1006,2
1007,2
1008,0
1009,2
1010,2
1011,1
1012,2
1013,2
1014,1
1015,1
1016,1
1017,1
1018,2
1019,2
1020,1
1021,2
1022,1
1023,1
1024,2
1025,1
1026,1
1027,2
1028,2
1029,2
1030,2
1031,1
1032,2
1033,1
1034,1
1035,1
1036,1
1037,1
1038,2
1039,1
1040,1
1041,2
1042,1
1043,1
1044,1
1045,2
1046,2
1047,1
1048,2
1049,2
1050,2
1051,1
1052,1
1053,1
1054,1
1055,2
1056,0
1057,2
1058,2
1059,1
1060,2
1061,2
1062,2
1063,2
1064,1
1065,2
1066,1
1067,0
1068,2
1069,2
1070,2
1071,1
1072,2
1073,1
1074,1
1075,2
1076,2
1077,2
1078,2
1079,2
1080,2
1081,2
1082,1
1083,2
1084,2
1085,2
1086,2
1087,2
1088,2
1089,1
1090,2
1091,0
1092,1
1093,2
1094,2
1095,1
1096,1
1097,2
1098,2
1099,2
1100,2
1101,2
1102,2
1103,1
1104,2
1105,1
1106,2
1107,2
1108,2
1109,2
1110,2
1111,2
1112,1
1113,1
1114,2
1115,2
1116,2
1117,2
1118,0
1119,2
1120,2
1121,2
1122,2
1123,2
1124,1
1125,0
1126,2
1127,2
1128,0
1129,2
1130,2
1131,1
1132,2
1133,2
1134,2
1135,2
1136,2
1137,2
1138,0
1139,2
1140,2
1141,2
1142,2
1143,1
1144,2
1145,1
1146,2
1147,2
1148,0
1149,2
1150,1
1151,0
1152,2
1153,1
1154,2
1155,1
1156,1
1157,1
1158,2
1159,1
1160,2
1161,1
1162,1
1163,2
1164,2
1165,2
1166,0
1167,2
1168,2
1169,1
1170,2
1171,1
1172,2
1173,1
1174,1
1175,2
1176,2
1177,1
1178,2
1179,1
1180,1
1181,2
1182,1
1183,2
1184,1
1185,2
1186,2
1187,2
1188,2
1189,0
1190,2
1191,2
1192,1
1193,2
1194,2
1195,1
1196,2
1197,1
1198,1
1199,2
